SpectraSmart Spectrum 2.12.1.1
--------- Device Information -----------
Spectrum Name : ,光譜_0
Saving Time : ,2026/07/22 16:43:04
Spectro-Module Model Name :,EE2063-VNIR
Spectro-Module Serial Number :,OS361AC55037329
Wavelength Start :,350
Wavelength End :,1020
Wavelength Unit :,Wavelength(nm)
Spectrum Unit :,Intensity
MB Temperature(°C) :,35.74 °C
TEC Temperature(°C) :,0.00 °C
-----------Spectrum Setting ------------
Integration Time :,2000ms
Average :,1
Boxcar :,0
Background removal :, enabled
linearity correction :, enabled
SC :, disabled
Intensity correction :, disabled
DWT denoise :, enabled
savitzky-golay :, disabled
FFT :, disabled
Running average :, disabled
Kalman :, disabled
High pass :, disabled
Baseline correction :, disabled
---------------BEGIN--------------------
644.28,       32316.72
644.64,       32251.61
644.99,       32258.05
645.34,       32346.32
645.69,       32494.82
646.04,       32646.59
646.39,       32709.28
646.74,       32663.83
647.10,       32542.31
647.45,       32399.18
647.80,       32322.59
648.15,       32336.15
648.50,       32409.19
648.85,       32510.39
649.20,       32590.85
649.55,        32635.9
649.91,       32656.83
650.26,       32650.84
650.61,        32640.7
650.96,       32637.28
651.31,       32519.18
651.66,       32513.27
652.01,       32504.35
652.36,       32557.38
652.71,        32654.7
653.06,       32754.86
653.41,       32784.94
653.76,       32730.13
654.12,       32618.02
654.47,       32490.75
654.82,       32422.18
655.17,       32422.62
655.52,        32471.6
655.87,       32550.38
656.22,       32617.26
656.57,       32650.79
656.92,        32691.4
657.27,          32736
657.62,       32597.75
657.97,       32573.54
658.32,       32442.62
658.67,        32325.3
659.02,       32258.38
659.37,       32263.53
659.72,       32346.93
660.07,       32475.15
660.42,       32588.13
660.77,       32666.79
661.12,       32708.28
661.47,       32691.18
661.82,       32728.18
662.17,       32578.08
662.52,       32450.48
662.87,       32310.85
663.22,       32229.78
663.57,       32220.69
663.92,       32265.27
664.27,       32342.02
664.62,       32405.73
664.97,       32439.44
665.32,       32457.03
665.66,       32446.87
666.01,       32391.15
666.36,       32294.35
666.71,       32161.85
667.06,       32033.41
667.41,       31975.85
667.76,       32000.69
668.11,       32085.89
668.46,       32189.56
668.81,        32241.2
669.16,       32221.37
669.51,       32154.21
669.85,       32058.07
670.20,        31963.3
670.55,       31884.99
670.90,       31813.03
671.25,       31761.17
671.60,       31753.04
671.95,       31786.75
672.30,       31854.49
672.64,       31927.46
672.99,       31945.29
673.34,       31893.28
673.69,       31810.07
674.04,       31722.59
674.39,       31563.18
674.73,       31526.71
675.08,       31460.87
675.43,       31421.17
675.78,       31406.55
676.13,       31413.25
676.48,       31435.56
676.82,       31459.41
677.17,        31464.8
677.52,       31445.28
677.87,       31408.52
678.22,       31351.57
678.56,       31272.16
678.91,        31175.9
679.26,       31063.31
679.61,       30963.46
679.96,       30923.23
680.30,        30945.9
680.65,       31014.25
681.00,       31082.97
681.35,       31073.93
681.69,       30971.58
682.04,       30815.88
682.39,       30642.11
682.74,        30483.7
683.08,        30373.6
683.43,       30346.68
683.78,       30391.06
684.13,        30440.6
684.47,       30477.51
684.82,       30530.73
685.17,          30576
685.51,       30558.17
685.86,       30471.07
686.21,       30334.96
686.56,       30171.04
686.90,       30016.18
687.25,       29889.33
687.60,       29783.91
687.94,       29717.23
688.29,       29715.11
688.64,        29770.8
688.98,       29867.53
689.33,       29962.34
689.68,        29981.7
690.02,       29906.39
690.37,       29771.73
690.72,       29598.57
691.06,       29392.75
691.41,       29193.89
691.76,       29069.47
692.10,       29023.42
692.45,       29008.57
692.80,       29019.11
693.14,        29053.1
693.49,       29097.82
693.83,          29184
694.18,       29262.42
694.53,       29180.82
694.87,       28955.99
695.22,       28780.64
695.57,       28681.11
695.91,       28564.26
696.26,       28329.03
696.60,       28422.76
696.95,        28349.2
697.29,       28442.28
697.64,       28519.38
697.99,       28563.21
698.33,        28475.5
698.68,       28360.27
699.02,       28206.72
699.37,       27993.93
699.71,       27757.07
700.06,       27567.01
700.41,       27458.09
700.75,       27425.59
701.10,       27469.49
701.44,       27599.36
701.79,       27765.16
702.13,       27863.65
702.48,       27863.25
702.82,       27798.71
703.17,       27674.16
703.51,       27475.66
703.86,       27236.79
704.20,        27022.5
704.55,       26858.72
704.89,       26740.54
705.24,       26677.37
705.58,       26673.02
705.93,       26721.08
706.27,       26803.18
706.62,        26901.8
706.96,       26924.12
707.31,       27063.71
707.65,        26851.2
708.00,       26655.36
708.34,       26309.21
708.68,       26098.07
709.03,       25899.89
709.37,       25784.83
709.72,       25781.31
710.06,       25863.88
710.41,       25963.36
710.75,       26048.41
711.10,       26128.45
711.44,       26176.07
711.78,       26149.56
712.13,       26042.05
712.47,       25863.43
712.82,       25637.89
713.16,       25410.61
713.50,       25205.76
713.85,       25024.66
714.19,       24883.13
714.54,       24799.69
714.88,       24774.44
715.22,       24799.89
715.57,       24854.32
715.91,        24901.1
716.25,       24921.22
716.60,       24911.85
716.94,       24866.22
717.28,        24782.6
717.63,       24669.45
717.97,       24517.77
718.31,       24332.29
718.66,       24172.99
719.00,       24063.97
719.34,       23799.29
719.69,       23762.54
720.03,       23689.48
720.37,       23686.42
720.72,       23726.37
721.06,       23779.89
721.40,       23793.83
721.75,       23745.71
722.09,       23649.13
722.43,       23505.36
722.78,        23322.9
723.12,       23116.11
723.46,       22887.05
723.80,        22663.8
724.15,       22504.85
724.49,       22416.72
724.83,        22357.2
725.17,       22325.04
725.52,       22345.72
725.86,       22406.98
726.20,       22477.64
726.54,       22535.29
726.89,       22558.28
727.23,       22534.68
727.57,       22465.31
727.91,       22352.37
728.26,       22203.74
728.60,       22031.76
728.94,       21846.28
729.28,       21668.54
729.62,       21529.11
729.97,       21437.14
730.31,       21384.68
730.65,       21365.28
730.99,       21365.53
731.33,       21371.14
731.68,       21375.56
732.02,       21354.85
732.36,       21274.28
732.70,       21127.85
733.04,       20927.59
733.38,       20696.18
733.72,       20471.79
734.07,       20273.83
734.41,       20102.81
734.75,       19965.46
735.09,       19867.12
735.43,       19807.47
735.77,       19785.57
736.11,       19793.63
736.46,       19816.99
736.80,       19844.75
737.14,       19870.36
737.48,       19882.64
737.82,        19869.3
738.16,       19826.31
738.50,        19755.2
738.84,       19663.25
739.18,       19563.35
739.52,       19465.15
739.87,       19374.88
740.21,       19296.27
740.55,       19232.26
740.89,       19184.84
741.23,       19151.83
741.57,       19143.36
741.91,       19171.93
742.25,       19227.92
742.59,       19312.25
742.93,       19392.78
743.27,       19378.36
